artist,text
krawczyk,"Tam wysoko mewy krzyk Chce zbudzić dzisiaj świat, Co w letargu wiecznym trwa Pośród szarych chmur Groźnie brzmi najlżejszy wiatr I przynagla noc"
krawczyk,"Strzelaj, strzelaj, strzelaj gola Nasza wola, co tu kryć Strzelaj, strzelaj, strzelaj gola Więcej już nie chcemy nic Więcej już nie chcemy nic"
kaczmarski,"Dlaczego taki ostry był Ziutkowej kosy szpic? Przecież znacie te balety, wszak w nich złego nie ma nic. Ale Celiny głos, Celiny włosów woń, Czerwoną mgłą zasnuwa oczy, w kamień zwiera dłoń, Ziutek tylko podniósł brew, Błysnęło, na białą pierś trysnęła krew!"
krawczyk,"W tłumie wielu snów Wyznań, marzeń, słów Toczyć będziesz swoje losy Zapamiętaj więc Tyle różnych spraw Dźwięków, kształtów, barw Nigdy wszystkich ich nie poznasz Ale jedno wiedz..."
krawczyk,"Zrozumieć musisz, że mój lęk Nie zmieni we mnie tego, co już twoim jest Wiem, że nadejdzie taki dzień Że będzie z nami tak, jak tego chcesz Uwierzyć musisz, że tych słów Ja nie mówiłem bardzo, bardzo dawno już I że niełatwo było mi Bym w tobie się odnaleźć znowu mógł"
kaczmarski,"- Ostatniej mapy nie dam kłuć chorągiewkami, Co oznaczają wojska, których nie mam już! Rzekł król i Polskę zwinął w rulon, a pergamin Jak muszla schował w sobie szum Jej obu mórz."
krawczyk,"Kiedy tata z mamą był W narzeczeńskim stanie Nigdy nie był pewny, czy Czy zdąży na spotkanie Autobusem, owszem, tak Lecz gdy chodzi o to Szybciej, pewniej, to jest fakt Do miłej piechotą"
krawczyk,Gdy do portu statki wchodzą Marynarze na ląd schodzą Do dyskotek dzisiaj biegną bawić się Ale czy pamięta jeszcze kto Jaki był w Casino tłok Kiedy Lola tam wodziła rej?
kaczmarski,"Te pochodnie w pochodzie niesione przez mgły Wyjaśniają nam tylko to, że my - to my . Te pochodnie prowadzą nas przez mrok, przez mrok I nie dają się wyrwać z odrętwiałych rąk."
kaczmarski,By przy śmierci twej być Płakać śmiać się i drwić To jedyny cel twojej eskorty Oddaj komuś rząd dusz I na własny szlak rusz Tam gdzie żadne nie zdarzą się porty
krawczyk,"Kiwasz głową bez namysłu No to proszę, jedźmy już Na perswazje szkoda słów Będzie tak, jak zechcesz No a chcieć to móc"
krawczyk,Przyjaciele sprzed lat Przyjaciele sprzed lat Las za nami po niebo wyrasta Gdy spłacony już dług Niech wśród ludzi i dróg Ta szczęśliwa prowadzi was gwiazda
krawczyk,"Nadejdzie taki dzień Kiedy zwróceni w stronę nieba (Bez cierpienia, smutku i zwątpienia) Będziemy nadzy jak Jak dzieci w chwili narodzenia (Wejdźcie po nim, ze szczęścia nieprzytomni) Poznamy miłość, która życie nasze zmienia Zmienia, zmienia (Wieczna miłość życie nasze zmienia) Wiem - jest nadzieja To wszystko, czego ci potrzeba Potrzeba, potrzeba"
kaczmarski,"Siedzę na Placu Zamkowym Z tym, co na plecach zostało, Sięgam po rozum do głowy, Lecz rozum by żyć - to za mało! Tłuką o pierś resztki serca, Serce nadzieją frymarczy, Lecz - może jestem oszczerca - Serce - by żyć - nie wystarczy!"
krawczyk,Ten sen wciąż mi się śni Angielski walc trwa aż po świt Ten walc znów we mnie brzmi Kołysze mnie od wielu dni
krawczyk,"Bamba, la bamba. Bamba, la bamba,  bamba, la bamba, la bamba, la bamba!  Na szare dni la bamba!  I na zle sny la bamba;  zaufaj, ze to naprawde mozliwe,  to naprawde mozliwe, wiec nie bron sie,  niech i ciebie porywa!"
kaczmarski,"Mimochodem... Mimochodem - Miasto chmur, chwile szczęść."
krawczyk,Nie znałem przy tobie srogich zim  barwami rozkwitał nam mrok  gdy owoc dojrzewał w sadzie twym  to giął gałęzie do mych rąk
krawczyk,"Kiedy tańczę, niebo tańczy razem ze mną kiedy gwiżdżę, gwiżdże ze mną wiatr zamknę oczy liście więdną kiedy milknę milczy cały świat"
krawczyk,"Dla dziewczyny to mojej przeznaczam: Tyś jest lutnią i dzwonkiem nad drzwiami Który słyszę codziennie, gdy wracasz Choć masz swoją torebkę z kluczami"
krawczyk,Dziś muzyką dźwięczy świat Chce ukoić nas do snu Żeby znowu dziś nam dać Kilka nowych pięknych snów
kaczmarski,"Z wygasłych ognisk pełzną strużki dymu Syn się przytula do mnie całym ciałkiem Jelcyn tryumfuje, Gorbi wraca z Krymu W łeb sobie strzela minister z marszałkiem."
kaczmarski,Owijam się dokoła królewskich rąk Ze żmii masz bransoletę na chwałę twą
kaczmarski,A w szarej celi ojczyzny naszej ślad My tam siedzimy i nasz gruziński brat Kilku Litwinów kilku Łotyszów A na dobitkę dwóch towarzyszów
krawczyk,"W konar sosny puka dzięcioł A na klonie kracze kruk Koncertują z wielką chęcią: Kra, kra, kra i puk, puk, puk"
krawczyk,"Pan kiedyś stanął nad brzegiem, Szukał ludzi gotowych pójść za mną; By łowić serca Słów Bożych prawdą."
kaczmarski,"Jasne było, że zdemolujemy lokal Wszyscy w knajpie zbledli czując zagrożenie, Kiedy nam, pijanym przeszła do rozróby już ochota I objęliśmy się z wielkim rozrzewnieniem."
krawczyk,"Ty wiesz, że czasem są są serca puste i coraz dalej jest ląd na którym dziś możemy stanąć."
kaczmarski,"Ale przyszłość w ślepych gwiazdach, Spokój - trumna tylko da. Więc możliwość jeszcze - każda Prawo do istnienia ma."
kaczmarski,"Lecz ja nie szukam statków wrogich, Ja cel swój mam: pochodnia drży mi w dłoni! Bo albo sam mój zamiar spełnię srogi, Albo na próżno we własnym ogniu spłonę!"
krawczyk,"W starym albumie u mego dziadka  Jest takie zdjęcie, istny cud  Płynacy w falach, wsród mewek stadka  Statek na parę sprzed lat stu"
kaczmarski,"Gdy zapomnisz już, żeś w polach Jął pod płotem tunel ryć, Wtedy, ile tylko wola - Będziesz wyć mógł, wyć i wyć!"
krawczyk,"Teraz pijesz wino, pijesz aż do dna,  Późna już godzina, próżno czekasz dnia.  Chciałbyś się rozpłynąć, uciec, gdzie się da. Może spać spokojnie, kto przyjaźni prawa zna."
krawczyk,"To nic, że słów nieraz brak, Że sprzed oczu znika zbawczy nasz brzeg, Miłość przecież znaczy więcej niż strach, O wiele więcej niż strach I jest tak wielka jak śpiew."
krawczyk,"Mijamy,  płynie czas  Czas nigdy nie omija nas  Kochamy, żeby żyć  Mijamy, tak już musi być"
krawczyk,Marsz weselny Mendelsona Powróci echem nam Kiedy podążymy szlakiem Naszych wspólnych spraw.
kaczmarski,I wyjaśniała skąd są dymy I czemu część z nas dawno śpi Po naszych ciałach gdy leżymy Wędrują takie białe wszy Podobno lubią słodką krew I te z nas które jej nie mają Nie mogą razem z nami żyć Znikają
kaczmarski,Szkielet doktora Mengele - Czar prasy i upiorność. Bo przecież to jedynie jest Historii horror.
kaczmarski,Patrzę patrzę wzwyż Po sznurze się pnę Gdzie ogromny spiż Głosem w przestrzeń tchnie
kaczmarski,Niełatwo wznieść się ponad burze Z ciężką wilgocią mokrych piór Ale nie można dać do ziemi się przylepić
krawczyk,"Ale gdy anielskie głosy słyszeli, Zaraz do Betlejem prosto bieżeli. Tam witali w żłobie Pana, Poklękali na kolana I oddali dary, co z sobą wzięli. Tam witali w żłobie Pana, Poklękali na kolana I oddali dary, co z sobą wzięli."
kaczmarski,Nie cierpię poczucia bezradności Z jakim zaszczute zwierzę patrzy w lufy strzelb Nie cierpię zbiegów złych okoliczności Co pojawiają się gdy ktoś osiąga cel Nie cierpię więc nie wyjaśnionych przyczyn Nie cierpię niepowetowanych strat Nie cierpię liczyć nie spełnionych życzeń Nim mi ostatnie uprzejmy spełni kat
kaczmarski,"Zapamiętać błędy ciekawsze Otulając się duszy swej płaszczem Co nie chroni przed żadnym urazem. Raz przehulać, co jest hulaszcze I przemyśleć zwykły sens następstw... I za własną się wziąć parafrazę."
krawczyk,"Nie znasz swych wad, bo wielki ten świat, Wmówił Ci, że Ty nie masz wad!"
krawczyk,Wśród nocnej ciszy głos się rozchodzi  Wstańcie pasterze Bóg się wam rodzi  Czem prędzej się wybierajcie  Do Betlejem pospieszajcie  Przywitać Pana
kaczmarski,"Może wszyscy byli na to samo chorzy te same nad karkiem okrągłe urazy Przez które do ziemi dar odpłynął Boży ale nie ma znaków, że to grób zarazy"
kaczmarski,"Mówią czarnoksiężnicy, że świat pękł na dwoje I jednym dane w słońcu żyć, a innym w mroku Stąd niechciana kamienność i czczość naszych rojeń Na pradawnym i cudzym oparta wyroku."
kaczmarski,"Pozostań ufna, lecz ostrożna, Przebiegłym nie ułatwiaj gry. Nie będzie mniej żarłoczny pożar, Jeśli w nim pierwsza spłoniesz Ty."
kaczmarski,"Święty Jerzy! Święty Jerzy! Smok bezzębną paszczę szczerzy, Chociaż już się nic mu nie śni - Zabić gada los ci każe, Żebyś trafił na ołtarze, Ale to nie koniec pieśni!"
krawczyk,Z tamtej strony Wisły kukułeczka kuka chodzi stary Cygan Cyganeczki szuka
kaczmarski,"Oto świat bez śmierci, świat śmierci bez mordu świat mordu bez rozkazu, rozkazu bez głosu świat głosu bez ciała i ciała bez Boga świat Boga bez imienia, imienia bez losu"
kaczmarski,"W krąg wodorostów zieleń Piętrzy się drwiącą warstwą I cuchnie - a muszelek? Muszelek - na lekarstwo!   Nie w naszej widać mocy   Odnaleźć skarb tak wielki!   Na skórze, w chłodzie nocy   Pęcznieją nam bąbelki."
kaczmarski,"Drogą białą jak obłęd w śnieg jak łajno mamuta Idę młody, genialny, ręce łańcuch mi skuł. Strażnik z twarzą Kałmuka w moim płaszczu i butach Żółte zęby wyszczerza, jakby kwiat siarki żuł."
kaczmarski,A my - uczniowie leniwi By was wysłuchać - niepilni Jednak jesteśmy cierpliwi Wierni rozważni i silni.
kaczmarski,Ze sceny ludzie jasno oświetleni Z zawodu nadzy myśli ślą bezbronne W gąszcz incognito zgromadzonych cieni Które że nieme więc hałasu godne
kaczmarski,- No i cóż - po kolejce Kapitan mi rzekł - Wódę ciągniesz jak stary nie kryję A czyś czołg widział z bliska do ataku czyś szedł Kiedy pocisk nad uchem ci wyje
kaczmarski,"W telewizji, w radiu szły piosenki moje I w pośpiechu wytłoczono kilka płyt Wydawnictwa otwierały swe podwoje O przeszłości ze mną nie rozmawiał nikt"
kaczmarski,"Z punktu widzenia trupa Kozaka Który w dniu śmierci miał zęby w porządku Jest wszystko jedno, jaka znów draka Grób mu rozgrzebie w ramach obrządku"
kaczmarski,"Skąd Rosjanie wracali? - Z historycznej wycieczki, Wieźli tryumfy wstydliwe, kryli nieładne łupy. A co po nich zostało? Buzująca pożoga, Splugawione świątynie, dzieci, gruzy i trupy."
kaczmarski,"Stoję przed zamkniętą bramą, wdycham pył węglowy, Każą ruszyć do ataku - może mi się dostać. Od nadużywania gazów mam stały ból głowy - Czy pomyśli kto, by czasem o mnie się zatroskać?"
krawczyk,"przeżył wszystko o czym marzysz  każdą z chwil  oddałby wspomnienia  byś zrozumiał w końcu, że ..."
krawczyk,"Za wiele było niepotrzebnych burz, Ich ślad jak cierń uparcie w nas tkwi. Pora by przeszłości spłacić ten dług, Żeby serce z wiarą mogło znów bić."
kaczmarski,"Takim już smutny, jak ma dusza Choć tak wesoły jak mój świat. W ostatnią swoją drogę ruszam, Być z aniołami za pan brat. Choć ciężko będzie, bo wysoko, A pieszo trzeba mi tam iść, Kiedy pokłonie się obłokom Na ziemi zwiędnie życia liść."
kaczmarski,Więc egzekucja więc egzekucja więc egzekucja dokonana Anioł szatanem nazwie brata Na chwałę Pana na chwałę Pana Na chwałę Pana na chwałę Pana I wieczną rozpacz świata I wieczną rozpacz świata I wieczną rozpacz świata
kaczmarski,Twe dzwony niebios rwą kawały I krwawe w lud ciskają ćwierci W dzień końca mej doczesnej chwały W wigilię chwały mej po śmierci
krawczyk,Nie chciałaś od życia wiele brać  radości dzieliłaś na pół  a smutkom patrzyłaś sama w twarz  gdy czasem przyszły tu.
krawczyk,2000 takich świąt gdy choinką pachnie dom gdy dobiega zewsząd śpiew nastał nam radosny dzień nastał nam radosny dzień nastał nam radosny dzień
kaczmarski,Spotkałem setki ludzi którzy ust nie mieli Spotkałem setki innych którzy mieć ich nie chcieli Ci pierwsi chcieli mówić nie dane im było Ci drudzy mówić mogli lecz sił nie starczyło Spotkałem strach obawę uczucie zagrożenia I miasta w których wszyscy siedzieli w więzieniach I jest ciężko ciężko ciężko ciężko Ciężki deszcz spadnie wkrótce na ziemię
krawczyk,Wszystko z czasem się zmienia W kolorowe wspomnienia Kruche jak mgła. Wszystko z czasem odchodzi Z biegiem sekund i godzin.
kaczmarski,"Ich miasto - płat kory w labirynt poryty, Co - martwy - od pnia się odkruszył. Ich państwo - garść wysp dryfujących w błękity, Istnienie ich - trucht karaluszy. Chmur karki pokorne rozpędzam rozpędem, Gdzieś za mną wiatr wyje jak pies; Nie pytam o drogę, dróg szukać nie będę - Ja sam jestem drogą za kres!"
kaczmarski,"fala wtapia się w falę, i zapada w oddali, czy wśród burz i kipieli nic ich już nie rozdzieli?"
kaczmarski,Tutaj kończę całuję cię w czółko Czarnych sucharów przysłać trochę chciej Pamiętaj o mnie moja mała pszczółko Całuję ciebie zawsze twój Andriej
kaczmarski,Pierwszy flirt obracał serce w gardle. Drugi się zatracał w prześcieradle. Trzeci zwracał weksle drogo - Kochałem za kogoś.
kaczmarski,"Nikt mi nigdy tego nie da, co mi moja buda da! Buda moja! Buda moja! Buda moja! Buda ma!"
kaczmarski,"Kto cnotami znudzony, nieufny nadziei, Swoich kroków niepewny - do dworu się klei. Tam wśród podobnych sobie może się wyszumieć A przy tym w nic nie wierzyć, niczego nie umieć: Prałat karci opojów - sam jeszcze czerwony, Złodziej potrząsa kluczem do skarbca Korony, Kanclerz wspiera sojusze na ościennym żołdzie, A mędrcy przed głupotą łby schylają w hołdzie."
kaczmarski,"Wiosną chyba nie przyjadę, bo mam kilka egzaminów, Muszę znowu więc poczytać, bo ostatnio tylko działam! Wszyscy tutaj mnie szanują, bo mi w piciu nikt nie strzyma: Szkoła twoja i stryjecznych bardzo mi się tu przydała!"
kaczmarski,Być wciąż spragnionym – to nektar istnienia
krawczyk,"Ty wiesz, jak to w życiu jest Czego człowiek chce Czasem spełnia się Ona, silna tak, wciąż daje nam Tę wiarę w każdą prawdę jej"
kaczmarski,"Więc lekarz rodziny, adwokat i żona Oświadczą, że śnię, że zabawa skończona, Że rozwód i wyjazd stąd... Kochają się, jechać chcą gdzieś do Australii, Więc rozumiecie, że muszę podpalić Ten dom, by pojęli błąd!"
kaczmarski,"Był też Palestyńczyk, co z Żydem się bratał W przyjaźni tej widząc nadzieję dla świata, Strzelając do niego Powtarzał: Kolego, Ta krew nas połączy na lata. Lecz w takiej przyjaźni nie widział Żyd cnoty, Bo nie miał ochoty na nowe Golgoty, Więc rzekł - przyjacielu, My tu, w Izraelu Nie mamy dla ciebie roboty!"
kaczmarski,"Tak, mam coś w sobie z Cortazara, Coś z niemowlęcia, coś ze starca, Mleczną biel tkanki, krwi amarant, Ot - pół człowieka, pół - padalca."
kaczmarski,"W kamieniołomach moi ludzie pracują szybko i dokładnie, Daje się zauważyć zapał i szczere zaangażowanie. Do pracy codzień stają wszyscy nikt się nie leni i nie kradnie, Wszystkie okowy i narzędzia są zawsze w doskonałym stanie."
krawczyk,Dziś w naszej łodzi znów płyniemy Po oceanie samotności Pośród mroku bez busoli I nie czując co nas boli Chcemy znaleźć to lepsze życie
kaczmarski,Przyjemnie stojąc w nim twarzą do ściany Czuć pod stopami wieczny bój żywiołów. Ten triumf pożytku nad zacietrzewieniem Przynoi ulgę i robi wrażenie.
krawczyk,chciałbym być na plaży  chciałbym być szczęściarzem  chciałbym mieć milion marzeń  i móc zmienić los
kaczmarski,"I samo się zrobiło jakoś tak, Że mnie słuchali wszyscy, Więc do nich wprost mówiłem, zamiast wspak I wołał lud, żem bystry."
kaczmarski,"Tam czekał na wyrok bez sądu, bez słowa Czytając bez słowa swoje własne znaki. Lecz inna strażników na wieżyczkach mowa I nocą zimniejsze bywały baraki."
kaczmarski,Sztandar chmury z nieba goni Drzewcem jego ziemska oś Z gestem milijonów dłoni Pierzcha lęk i złość
kaczmarski,"Był Polak co winem częstował Litwina Że wynikł stąd spór pewnie wina to wina Ścierały się srogo I Orzeł i Pogoń W wyzwiskach ""Panisko"", ""Boćwina"" Quo vadis? zapytałby strony Winicjusz Polaka z Litwinem nie łączy dziś nic już Patriota naciera Bo Litwin się spiera Że wieszcz nasz się zwał Mickiewiczius"
kaczmarski,"Chorych łudzą, głodnych mnożą, Koronują złotogłowiem, Przekłamują wolę bożą Swym strzelistym pustosłowiem. Wielbią krzyże i kajdany, Nędza dla nich wielkość znaczy; Obnażonym i skazanym Kroją święty strój rozpaczy.     Sprawy mroczne i ogromne:    Hipokryzja świat połyka.    Wszystko wina katolika,    Że o Żydzie tutaj już nie wspomnę."
kaczmarski,"Mój śmiech histerii i pogardy Do waszych uszu nie dociera. To On jest dzielny, mądry, twardy - Ja tylko - wariat, degenerat. On jest sól ziemi i kość z kości, Nosiciel nieobjętych dążeń... A ja - w monoklu śmieć ludzkości, Zdeklasowany, chory książę."
kaczmarski,"Strażnika ognia uwiedzie Pandora I świętokradztwo pomszczą faraoni Rozpaczą dzisiaj co nadzieją wczoraj Nie jest wymysłem klątwa, co skarb chroni"
kaczmarski,"Wszyscy zdajemy sobie sprawę ile dla państwa trud nasz waży, Dzięki któremy staną gmachy co świat zadziwią swym ogromem: Place ulice proste drogi łuki tryumfalne dla cesarzy, Porty świątynie i posągi i gospody i publiczne domy..."
kaczmarski,"Jedni pękają, A drudzy zgrają Na los stawiają to, co mają - Liczy się tylko dola własna I przyszłość jasna - Stać nas na gest!"
krawczyk,"poddałem nas,  lecz teraz wiem  granice świata  wyznaczają twoje ramiona."
krawczyk,Mgła Nad lotniskiem wciąż  mgła Pewnie nie przylecisz już Za dnia Światła wchodzą w cień Wokół przejść mniejszy tłok Tylko wciąż opóźnia się Twój lot
kaczmarski,"Łykam szkło! Łykam szkło! Łykam szkło! A w rozbitym oknie ciągle widzę go! Krwawi krtań! Krwawi krtań! Krwawi krtań! A ja ciągle tam go widzę, patrzę nań!"
krawczyk,i odnajdę tamten ogień i gościnny domu próg i przyjazną dłoń lecz czy tamtą twą urodę zwróci nam rzeki bystra toń?
kaczmarski,"Kogo potępiać i czym, jeśli stempel Zastąpił tępe ostrze potępienia I - bezszelestnie, żeby iść z postępem, Trzeba udzielać hurtem rozgrzeszenia?"
kaczmarski,Gdy wycinają młody las I cieknie sok z przeciętych pni Nie gaśnie żadna z ważnych gwiazd Nic nie wstrzymuje biegu dni I słychać tylko siekier jęk Bo nie jest skargą drzew ich trzask W tej ciszy duma jest i lęk Gdy wycinają las
kaczmarski,W szaliku tym wzięli go wyzwoliciele I zawieźli nocą na lubelski zamek. Potem krótki etap i w godzin niewiele Znowu się przed nim otworzył Majdanek.
krawczyk,"To byłaś ty uśmiech twój i twój głos jak ptaków śpiew budził mnie. To bylaś ty oddech twój ,cieplo rąk to byłaś ty , tylko ty."
kaczmarski,"Więc w krzyk - trzeciorzędni statyści - Że wściekłość w nich wielkość wyzwala, Nienawiść z małości oczyści. Obłażą liszajem godności"
krawczyk,"Światła lamp opadną w rzeki nurt Wrócę sam, lotniska ścichnie szum Wypiję kawy haust Przeczytam twój ostatni list Przemyślę wszystko jeszcze raz Zerwany przejrzę film"
krawczyk,"Ubiorę ciebie w błękit kwiatów,  niezopominek i bławatów,  ustroję ciebie w paproć młodą  i świat rozświetlę twa urodą."
kaczmarski,"Nie nauczono mnie paciorka, Nigdy nie byłem u spowiedzi, Więc od czupryny do rozporka Niejeden diabeł we mnie siedzi."
kaczmarski,Jest rada na trwogi ocalimy uni- Fikację gdy już nam nie grozi komunizm Wskazali nam młodzi Jak trzeba się godzić Wszystkiemu są winni Rumuni
kaczmarski,"Ja wam powiadam i kto chce, niech wątpi, Że się to morze przed nami rozstąpi!"
kaczmarski,"Widziałem z okna kuchni dom ""Riviera"", Skarpę, ogródek, szkołę i boisko - Mój zabaw teren, zajmowany teraz Przez tłum ruchomy. Wszystko było blisko."
krawczyk,Pośród imion tysiąca Poszukuję bez końca Jeden wyraz składanych Kilku liter nieznanych
kaczmarski,Wysłuchałaś i milczysz nie śmieszne Nie odwracaj się mówię do ciebie Twój fartuszek prześliczny jest wierz mi Ale w nim nie ukryjesz mi siebie Jesteś głupią wiejską dziewczyną Która nie wie co jak gdzie i komu Umiesz tylko rozlewać wino I zapatrzyć się myśląc o domu
kaczmarski,"Brat Aramis - stal w biskupiej skrył sukience, Maścią intryg pielęgnuje gładkość dłoni; Kiedy trzeba - zdradzi i umyje ręce, Kiedy trzeba - Pismem Świętym się zasłoni..."
kaczmarski,"Łagodne wzgórza, kotliny, żył podskórne strumienie, Stoki olśnione światłem, określone cieniem, Pejzaż łagodnej siły istnienia życia - nie rzeczy - Odkryli w plecach człowieka świadomi siebie Grecy."
kaczmarski,"Stali tak do rana, deszcz spadł, ciągle stali Aż popiół się zmieszał ze szlamem. - Jeden Żyd się spalił! Jeden Żyd się spalił! Śpiewał w knajpie nad wódką włóczęga pijany."
krawczyk,wspominam nas  sprzed kilku lat  patrzyłaś tak jak gdybym mógł  zastąpić Ci świat
kaczmarski,"Śmierć kryje w sobie pustyni głąb, W dzień jest tu upał, a w nocy ziąb, Lecz złoto to złoto, więc mimo to Doszliśmy tu: Hank, ja, i Joe."
krawczyk,"ref.  Bez twojej wiary przegrany dziś dla mnie byłby świat  bez twej nadziei w tej ziemi nie wyrósł by już kwiat  bez twojej wiary nieznany do szczęścia byłby ślad  bez naszych marzeń, na twarzy w uśmiechu dnia nie zakwitłby juz kwiat"
kaczmarski,Tym lepiej jeśli mnie Rozdrażnią winą swą Upiję wkrótce się Nienawiść zgubię swą
krawczyk,"Każdy dzień jest dla Ciebie próbą sił, Walczysz o codzienny byt, Zapominasz o marzeniach. Gonisz czas, żeby dostać sie na szczyt, Żeby znaleść sie wśród tych, Którzy stali się swym cieniem."
krawczyk,Krzyś z Puchatkiem zasnął smacznie Noc rozpięła czarny szal Lecz w piórniku bal się zacznie - Kto z was widział taki bal?
kaczmarski,"Nie dla nas sady na żyznych rzek stokach - Dla nas jest toń ta czerwona, głęboka."
kaczmarski,Jak ciężko żyć wśród małych ludzi Którzy sięgają do obcasa Aż chce się zdeptać (nie pobrudzić) I nie pamiętać pięknych zasad.
krawczyk,"Dziś jeszcze nie wiem, co łączy nas, Choć mnie całujesz i noc mi dasz. Już jutro jest nowy dzień Czy on coś zmieni, pokochasz mnie?"
krawczyk,zatrzymajmy tych kilka dobrych chwil  żeby było o czym śnić
kaczmarski,"Gospodarstwo stoi, spróbuj przejąć je - Matka płacze, ale matki zawsze płaczą - Pan Bóg z Tobą, chyba nie spotkamy się - Żyj szczęśliwy i niech ludzie ci wybaczą!"
